Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.5	0	1	internal://	InInterests	0	0	0	0
0.5	0	1	internal://	OutInterests	0	0	0	0
0.5	0	1	internal://	InData	0	0	0	0
0.5	0	1	internal://	OutData	0	0	0	0
0.5	0	1	internal://	InNacks	0	0	0	0
0.5	0	1	internal://	OutNacks	0	0	0	0
0.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
0.5	0	1	internal://	InTimedOutInterests	0	0	0	0
0.5	0	1	internal://	OutSatisfiedInterests	11.2	0	7	0
0.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	2	internal://	InInterests	0	0	0	0
0.5	0	2	internal://	OutInterests	0	0	0	0
0.5	0	2	internal://	InData	0	0	0	0
0.5	0	2	internal://	OutData	0	0	0	0
0.5	0	2	internal://	InNacks	0	0	0	0
0.5	0	2	internal://	OutNacks	0	0	0	0
0.5	0	2	internal://	InSatisfiedInterests	6.4	0	4	0
0.5	0	2	internal://	InTimedOutInterests	0	0	0	0
0.5	0	2	internal://	OutSatisfiedInterests	0	0	0	0
0.5	0	2	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	256	internal://	InInterests	0	0	0	0
0.5	0	256	internal://	OutInterests	0	0	0	0
0.5	0	256	internal://	InData	0	0	0	0
0.5	0	256	internal://	OutData	0	0	0	0
0.5	0	256	internal://	InNacks	0	0	0	0
0.5	0	256	internal://	OutNacks	0	0	0	0
0.5	0	256	internal://	InSatisfiedInterests	4.8	0	3	0
0.5	0	256	internal://	InTimedOutInterests	0	0	0	0
0.5	0	256	internal://	OutSatisfiedInterests	0	0	0	0
0.5	0	256	internal://	OutTimedOutInterests	0	0	0	0
0.5	0	-1	all	SatisfiedInterests	12.8	0	8	0
0.5	0	-1	all	TimedOutInterests	0	0	0	0
1	0	1	internal://	InInterests	0	0	0	0
1	0	1	internal://	OutInterests	0	0	0	0
1	0	1	internal://	InData	0	0	0	0
1	0	1	internal://	OutData	0	0	0	0
1	0	1	internal://	InNacks	0	0	0	0
1	0	1	internal://	OutNacks	0	0	0	0
1	0	1	internal://	InSatisfiedInterests	0	0	0	0
1	0	1	internal://	InTimedOutInterests	0	0	0	0
1	0	1	internal://	OutSatisfiedInterests	2.24	0	0	0
1	0	1	internal://	OutTimedOutInterests	0	0	0	0
1	0	2	internal://	InInterests	0	0	0	0
1	0	2	internal://	OutInterests	0	0	0	0
1	0	2	internal://	InData	0	0	0	0
1	0	2	internal://	OutData	0	0	0	0
1	0	2	internal://	InNacks	0	0	0	0
1	0	2	internal://	OutNacks	0	0	0	0
1	0	2	internal://	InSatisfiedInterests	1.28	0	0	0
1	0	2	internal://	InTimedOutInterests	0	0	0	0
1	0	2	internal://	OutSatisfiedInterests	0	0	0	0
1	0	2	internal://	OutTimedOutInterests	0	0	0	0
1	0	256	internal://	InInterests	0	0	0	0
1	0	256	internal://	OutInterests	0	0	0	0
1	0	256	internal://	InData	0	0	0	0
1	0	256	internal://	OutData	0	0	0	0
1	0	256	internal://	InNacks	0	0	0	0
1	0	256	internal://	OutNacks	0	0	0	0
1	0	256	internal://	InSatisfiedInterests	0.96	0	0	0
1	0	256	internal://	InTimedOutInterests	0	0	0	0
1	0	256	internal://	OutSatisfiedInterests	0	0	0	0
1	0	256	internal://	OutTimedOutInterests	0	0	0	0
1	0	-1	all	SatisfiedInterests	2.56	0	0	0
1	0	-1	all	TimedOutInterests	0	0	0	0
1.5	0	1	internal://	InInterests	0	0	0	0
1.5	0	1	internal://	OutInterests	0	0	0	0
1.5	0	1	internal://	InData	0	0	0	0
1.5	0	1	internal://	OutData	0	0	0	0
1.5	0	1	internal://	InNacks	0	0	0	0
1.5	0	1	internal://	OutNacks	0	0	0	0
1.5	0	1	internal://	InSatisfiedInterests	0	0	0	0
1.5	0	1	internal://	InTimedOutInterests	0	0	0	0
1.5	0	1	internal://	OutSatisfiedInterests	0.448	0	0	0
1.5	0	1	internal://	OutTimedOutInterests	0	0	0	0
1.5	0	2	internal://	InInterests	0	0	0	0
1.5	0	2	internal://	OutInterests	0	0	0	0
1.5	0	2	internal://	InData	0	0	0	0
1.5	0	2	internal://	OutData	0	0	0	0
1.5	0	2	internal://	InNacks	0	0	0	0
1.5	0	2	internal://	OutNacks	0	0	0	0
1.5	0	2	internal://	InSatisfiedInterests	0.256	0	0	0
1.5	0	2	internal://	InTimedOutInterests	0	0	0	0
1.5	0	2	internal://	OutSatisfiedInterests	0	0	0	0
1.5	0	2	internal://	OutTimedOutInterests	0	0	0	0
1.5	0	256	internal://	InInterests	0	0	0	0
1.5	0	256	internal://	OutInterests	0	0	0	0
1.5	0	256	internal://	InData	0	0	0	0
1.5	0	256	internal://	OutData	0	0	0	0
1.5	0	256	internal://	InNacks	0	0	0	0
1.5	0	256	internal://	OutNacks	0	0	0	0
1.5	0	256	internal://	InSatisfiedInterests	0.192	0	0	0
1.5	0	256	internal://	InTimedOutInterests	0	0	0	0
1.5	0	256	internal://	OutSatisfiedInterests	0	0	0	0
1.5	0	256	internal://	OutTimedOutInterests	0	0	0	0
1.5	0	257	appFace://	InInterests	6.4	0	4	0
1.5	0	257	appFace://	OutInterests	17.6	0	11	0
1.5	0	257	appFace://	InData	3.2	1.575	2	0.984375
1.5	0	257	appFace://	OutData	0	0	0	0
1.5	0	257	appFace://	InNacks	0	0	0	0
1.5	0	257	appFace://	OutNacks	0	0	0	0
1.5	0	257	appFace://	InSatisfiedInterests	0	0	0	0
1.5	0	257	appFace://	InTimedOutInterests	0	0	0	0
1.5	0	257	appFace://	OutSatisfiedInterests	3.2	0	2	0
1.5	0	257	appFace://	OutTimedOutInterests	0	0	0	0
1.5	0	258	appFace://	InInterests	9.6	0	6	0
1.5	0	258	appFace://	OutInterests	17.6	0	11	0
1.5	0	258	appFace://	InData	0	0	0	0
1.5	0	258	appFace://	OutData	3.2	1.575	2	0.984375
1.5	0	258	appFace://	InNacks	0	0	0	0
1.5	0	258	appFace://	OutNacks	0	0	0	0
1.5	0	258	appFace://	InSatisfiedInterests	3.2	0	2	0
1.5	0	258	appFace://	InTimedOutInterests	0	0	0	0
1.5	0	258	appFace://	OutSatisfiedInterests	3.2	0	2	0
1.5	0	258	appFace://	OutTimedOutInterests	0	0	0	0
1.5	0	259	appFace://	InInterests	11.2	0	7	0
1.5	0	259	appFace://	OutInterests	16	0	10	0
1.5	0	259	appFace://	InData	0	0	0	0
1.5	0	259	appFace://	OutData	3.2	1.575	2	0.984375
1.5	0	259	appFace://	InNacks	0	0	0	0
1.5	0	259	appFace://	OutNacks	0	0	0	0
1.5	0	259	appFace://	InSatisfiedInterests	3.2	0	2	0
1.5	0	259	appFace://	InTimedOutInterests	0	0	0	0
1.5	0	259	appFace://	OutSatisfiedInterests	3.2	0	2	0
1.5	0	259	appFace://	OutTimedOutInterests	0	0	0	0
1.5	0	-1	all	SatisfiedInterests	3.712	0	2	0
1.5	0	-1	all	TimedOutInterests	0	0	0	0
2	0	1	internal://	InInterests	0	0	0	0
2	0	1	internal://	OutInterests	0	0	0	0
2	0	1	internal://	InData	0	0	0	0
2	0	1	internal://	OutData	0	0	0	0
2	0	1	internal://	InNacks	0	0	0	0
2	0	1	internal://	OutNacks	0	0	0	0
2	0	1	internal://	InSatisfiedInterests	0	0	0	0
2	0	1	internal://	InTimedOutInterests	0	0	0	0
2	0	1	internal://	OutSatisfiedInterests	0.0896	0	0	0
2	0	1	internal://	OutTimedOutInterests	0	0	0	0
2	0	2	internal://	InInterests	0	0	0	0
2	0	2	internal://	OutInterests	0	0	0	0
2	0	2	internal://	InData	0	0	0	0
2	0	2	internal://	OutData	0	0	0	0
2	0	2	internal://	InNacks	0	0	0	0
2	0	2	internal://	OutNacks	0	0	0	0
2	0	2	internal://	InSatisfiedInterests	0.0512	0	0	0
2	0	2	internal://	InTimedOutInterests	0	0	0	0
2	0	2	internal://	OutSatisfiedInterests	0	0	0	0
2	0	2	internal://	OutTimedOutInterests	0	0	0	0
2	0	256	internal://	InInterests	0	0	0	0
2	0	256	internal://	OutInterests	0	0	0	0
2	0	256	internal://	InData	0	0	0	0
2	0	256	internal://	OutData	0	0	0	0
2	0	256	internal://	InNacks	0	0	0	0
2	0	256	internal://	OutNacks	0	0	0	0
2	0	256	internal://	InSatisfiedInterests	0.0384	0	0	0
2	0	256	internal://	InTimedOutInterests	0	0	0	0
2	0	256	internal://	OutSatisfiedInterests	0	0	0	0
2	0	256	internal://	OutTimedOutInterests	0	0	0	0
